Code,Name
score_nor,Heat Map of Conservation Priorities
BACLlink_g,Bay Area Critical Linkages
CLN_num,Conservation Lands Network
TNC_gp,TNC Ecoregional Priorities
cons_fee,Protected Lands
ACEIIfinin,DFW Areas of Conservation Emphasis II
Fish_PAD,Barriers to fish passage
groundw,Groundwater Recharge
NWI2,Wetlands
